SalesOrderID,OrderDate,TotalDue,Territorio
43659,2022-05-30,23153.2339,Southeast
43660,2022-05-30,1457.3288,Southeast
43661,2022-05-30,36865.8012,Canada
43662,2022-05-30,32474.9324,Canada
43663,2022-05-30,472.3108,Southwest
43664,2022-05-30,27510.4109,Northwest
43665,2022-05-30,16158.6961,Northwest
43666,2022-05-30,5694.8564,Southwest
43667,2022-05-30,6876.3649,Central
43668,2022-05-30,40487.7233,Canada
43669,2022-05-30,807.2585,Northwest
43670,2022-05-30,6893.2549,Central
43671,2022-05-30,9153.6054,Northwest
43672,2022-05-30,6895.41,Canada
43673,2022-05-30,4216.0258,Northeast
43674,2022-05-30,2955.0542,Canada
43675,2022-05-30,6434.0848,Central
43676,2022-05-30,15992.7446,Southeast
43677,2022-05-30,8773.681,Canada
43678,2022-05-30,11036.3964,Southwest
43679,2022-05-30,1481.1742,Canada
43680,2022-05-30,12832.9009,Southwest
43681,2022-05-30,15524.0686,Southeast
43682,2022-05-30,4363.7107,Northeast
43683,2022-05-30,48204.0662,Northwest
43684,2022-05-30,6301.6258,Southeast
43685,2022-05-30,3082.0191,Southeast
43686,2022-05-30,3899.6756,Northwest
43687,2022-05-30,1416.9322,Northeast
43688,2022-05-30,14323.1194,Northeast
43689,2022-05-30,38291.2063,Southwest
43690,2022-05-30,1460.6061,Central
43691,2022-05-30,985.018,Southwest
43692,2022-05-30,43362.4196,Southwest
43693,2022-05-30,23126.45,Southeast
43694,2022-05-30,23242.1865,Southeast
43695,2022-05-30,44344.8265,Southeast
43696,2022-05-30,472.3108,Southeast
43697,2022-05-30,3953.9884,Canada
43698,2022-05-30,3756.989,France
43699,2022-05-30,3756.989,Northwest
43700,2022-05-30,772.5036,Southwest
43701,2022-05-30,3756.989,Australia
43702,2022-05-31,3953.9884,Southwest
43703,2022-05-31,3953.9884,Australia
43704,2022-05-31,3729.364,Australia
43705,2022-05-31,3756.989,Australia
43706,2022-06-01,3953.9884,Southwest
43707,2022-06-01,3953.9884,Southwest
43708,2022-06-01,772.5036,United Kingdom
43709,2022-06-01,3953.9884,Australia
43710,2022-06-01,3953.9884,Australia
43711,2022-06-02,3953.9884,Northwest
43712,2022-06-02,3953.9884,Germany
43713,2022-06-03,3953.9884,Southwest
43714,2022-06-03,3953.9884,United Kingdom
43715,2022-06-03,3953.9884,Australia
43716,2022-06-03,3953.9884,Australia
43717,2022-06-03,772.5036,Australia
43718,2022-06-04,3953.9884,Northwest
43719,2022-06-04,3953.9884,Southwest
43720,2022-06-04,3953.9884,Germany
43721,2022-06-04,3953.9884,United Kingdom
43722,2022-06-05,3953.9884,United Kingdom
43723,2022-06-05,772.5036,Northwest
43724,2022-06-05,3953.9884,Australia
43725,2022-06-06,3953.9884,Germany
43726,2022-06-06,772.5036,Southwest
43727,2022-06-06,3953.9884,Australia
43728,2022-06-07,3953.9884,Southwest
43729,2022-06-07,3756.989,United Kingdom
43730,2022-06-07,3756.989,Southwest
43731,2022-06-07,3953.9884,Australia
43732,2022-06-07,3729.364,Australia
43733,2022-06-07,3953.9884,Northwest
43734,2022-06-08,3953.9884,Northwest
43735,2022-06-08,3953.9884,Australia
43736,2022-06-08,3756.989,Australia
43737,2022-06-09,3953.9884,Germany
43738,2022-06-09,3953.9884,France
43739,2022-06-09,3953.9884,United Kingdom
43740,2022-06-09,3953.9884,Australia
43741,2022-06-10,3953.9884,Northwest
43742,2022-06-10,3953.9884,United Kingdom
43743,2022-06-10,3756.989,Australia
43744,2022-06-10,3953.9884,Australia
43745,2022-06-11,3953.9884,Australia
43746,2022-06-11,3953.9884,Australia
43747,2022-06-12,3953.9884,Southwest
43748,2022-06-12,3953.9884,Northwest
43749,2022-06-12,3953.9884,Northwest
43750,2022-06-12,3953.9884,France
43751,2022-06-12,3953.9884,France
43752,2022-06-12,3953.9884,Germany
43753,2022-06-12,3953.9884,Australia
43754,2022-06-13,3953.9884,Northwest
43755,2022-06-13,3953.9884,Southwest
43756,2022-06-13,772.5036,United Kingdom
43757,2022-06-13,3729.364,Australia
43758,2022-06-14,3953.9884,Southwest
43759,2022-06-14,3953.9884,Germany
43760,2022-06-14,3953.9884,Australia
43761,2022-06-14,3953.9884,Australia
43762,2022-06-15,3953.9884,Southwest
43763,2022-06-15,3953.9884,Australia
43764,2022-06-15,3953.9884,Australia
43765,2022-06-15,3756.989,Australia
43766,2022-06-16,3953.9884,Australia
43767,2022-06-16,3729.364,Australia
43768,2022-06-17,3953.9884,Northwest
43769,2022-06-17,3953.9884,Canada
43770,2022-06-17,3953.9884,Northwest
43771,2022-06-17,772.5036,Southwest
43772,2022-06-17,3953.9884,Australia
43773,2022-06-17,3953.9884,Australia
43774,2022-06-17,3953.9884,Australia
43775,2022-06-17,3756.989,Australia
43776,2022-06-18,3953.9884,Germany
43777,2022-06-18,3953.9884,Australia
